part,kind,dimension_1_mm,dimension_2_mm,dimension_3_mm,description
fastener_clip_vertical_top_right_2_beam_2,screw,38.1,6.35,6.35,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment; clip_vertical_top_right_2 + base_rail_top"
fastener_clip_vertical_top_right_2_beam_3,screw,38.1,6.35,6.35,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment; clip_vertical_top_right_2 + base_rail_top"
fastener_clip_vertical_top_right_2_upright_1,screw,38.1,6.35,6.35,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment; clip_vertical_top_right_2 + base_principal_right_2"
fastener_clip_vertical_top_right_2_upright_2,screw,38.1,6.35,6.35,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment; clip_vertical_top_right_2 + base_principal_right_2"
fastener_clip_vertical_top_right_2_upright_3,screw,38.1,6.35,6.35,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment; clip_vertical_top_right_2 + base_principal_right_2"
fastener_clip_vertical_base_right_2_beam_1,screw,38.1,6.35,6.35,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment; clip_vertical_base_right_2 + base_header"
fastener_clip_vertical_base_right_2_beam_2,screw,38.1,6.35,6.35,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment; clip_vertical_base_right_2 + base_header"
fastener_clip_vertical_base_right_2_beam_3,screw,38.1,6.35,6.35,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment; clip_vertical_base_right_2 + base_header"
fastener_clip_vertical_base_right_2_upright_1,screw,38.1,6.35,6.35,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment; clip_vertical_base_right_2 + base_principal_right_2"
fastener_clip_vertical_base_right_2_upright_2,screw,38.1,6.35,6.35,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment; clip_vertical_base_right_2 + base_principal_right_2"
fastener_clip_vertical_base_right_2_upright_3,screw,38.1,6.35,6.35,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment; clip_vertical_base_right_2 + base_principal_right_2"
fastener_clip_vertical_header_right_2_beam_1,screw,38.1,6.35,6.35,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment; clip_vertical_header_right_2 + base_header"
fastener_clip_vertical_header_right_2_beam_2,screw,38.1,6.35,6.35,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment; clip_vertical_header_right_2 + base_header"
fastener_clip_vertical_header_right_2_beam_3,screw,38.1,6.35,6.35,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment; clip_vertical_header_right_2 + base_header"
fastener_clip_vertical_header_right_2_upright_1,screw,38.1,6.35,6.35,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment; clip_vertical_header_right_2 + base_post_right_2"
fastener_clip_vertical_header_right_2_upright_2,screw,38.1,6.35,6.35,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment; clip_vertical_header_right_2 + base_post_right_2"
fastener_clip_vertical_header_right_2_upright_3,screw,38.1,6.35,6.35,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment; clip_vertical_header_right_2 + base_post_right_2"
fastener_timber_panel_lower_left_1,screw,50.8,4.1402,4.1402,"SPAX XFT08P-2000 #8 x2 in; nominal geometry; head profile and capacity unqualified; fresh drilling; Four additional independent single 2x6 principals; no horizontal seam rails; single 2x10 posts below added principals; retained center and outer members; panel spans, connections, header bending and stability unqualified; NOT build-ready; main_lower_left + base_side_left"
fastener_timber_panel_lower_left_2,screw,50.8,4.1402,4.1402,"SPAX XFT08P-2000 #8 x2 in; nominal geometry; head profile and capacity unqualified; fresh drilling; Four additional independent single 2x6 principals; no horizontal seam rails; single 2x10 posts below added principals; retained center and outer members; panel spans, connections, header bending and stability unqualified; NOT build-ready; main_lower_left + base_side_left"
fastener_timber_panel_lower_left_3,screw,50.8,4.1402,4.1402,"SPAX XFT08P-2000 #8 x2 in; nominal geometry; head profile and capacity unqualified; fresh drilling; Four additional independent single 2x6 principals; no horizontal seam rails; single 2x10 posts below added principals; retained center and outer members; panel spans, connections, header bending and stability unqualified; NOT build-ready; main_lower_left + base_principal_center"
fastener_timber_panel_lower_left_4,screw,50.8,4.1402,4.1402,"SPAX XFT08P-2000 #8 x2 in; nominal geometry; head profile and capacity unqualified; fresh drilling; Four additional independent single 2x6 principals; no horizontal seam rails; single 2x10 posts below added principals; retained center and outer members; panel spans, connections, header bending and stability unqualified; NOT build-ready; main_lower_left + base_principal_center"
fastener_timber_panel_lower_left_5,screw,50.8,4.1402,4.1402,"SPAX XFT08P-2000 #8 x2 in; nominal geometry; head profile and capacity unqualified; fresh drilling; Four additional independent single 2x6 principals; no horizontal seam rails; single 2x10 posts below added principals; retained center and outer members; panel spans, connections, header bending and stability unqualified; NOT build-ready; main_lower_left + base_side_left"
fastener_timber_panel_lower_left_6,screw,50.8,4.1402,4.1402,"SPAX XFT08P-2000 #8 x2 in; nominal geometry; head profile and capacity unqualified; fresh drilling; Four additional independent single 2x6 principals; no horizontal seam rails; single 2x10 posts below added principals; retained center and outer members; panel spans, connections, header bending and stability unqualified; NOT build-ready; main_lower_left + base_side_left"
fastener_timber_panel_lower_left_7,screw,50.8,4.1402,4.1402,"SPAX XFT08P-2000 #8 x2 in; nominal geometry; head profile and capacity unqualified; fresh drilling; Four additional independent single 2x6 principals; no horizontal seam rails; single 2x10 posts below added principals; retained center and outer members; panel spans, connections, header bending and stability unqualified; NOT build-ready; main_lower_left + base_principal_center"
fastener_timber_panel_lower_left_8,screw,50.8,4.1402,4.1402,"SPAX XFT08P-2000 #8 x2 in; nominal geometry; head profile and capacity unqualified; fresh drilling; Four additional independent single 2x6 principals; no horizontal seam rails; single 2x10 posts below added principals; retained center and outer members; panel spans, connections, header bending and stability unqualified; NOT build-ready; main_lower_left + base_principal_center"
fastener_timber_panel_lower_left_9,screw,50.8,4.1402,4.1402,"SPAX XFT08P-2000 #8 x2 in; nominal geometry; head profile and capacity unqualified; fresh drilling; Four additional independent single 2x6 principals; no horizontal seam rails; single 2x10 posts below added principals; retained center and outer members; panel spans, connections, header bending and stability unqualified; NOT build-ready; main_lower_left + base_rail_bottom_left_1"
fastener_timber_panel_lower_left_10,screw,50.8,4.1402,4.1402,"SPAX XFT08P-2000 #8 x2 in; nominal geometry; head profile and capacity unqualified; fresh drilling; Four additional independent single 2x6 principals; no horizontal seam rails; single 2x10 posts below added principals; retained center and outer members; panel spans, connections, header bending and stability unqualified; NOT build-ready; main_lower_left + base_rail_bottom_left_2"
fastener_timber_panel_lower_right_1,screw,50.8,4.1402,4.1402,"SPAX XFT08P-2000 #8 x2 in; nominal geometry; head profile and capacity unqualified; fresh drilling; Four additional independent single 2x6 principals; no horizontal seam rails; single 2x10 posts below added principals; retained center and outer members; panel spans, connections, header bending and stability unqualified; NOT build-ready; main_lower_right + base_principal_center"
fastener_timber_panel_lower_right_2,screw,50.8,4.1402,4.1402,"SPAX XFT08P-2000 #8 x2 in; nominal geometry; head profile and capacity unqualified; fresh drilling; Four additional independent single 2x6 principals; no horizontal seam rails; single 2x10 posts below added principals; retained center and outer members; panel spans, connections, header bending and stability unqualified; NOT build-ready; main_lower_right + base_principal_center"
fastener_timber_panel_lower_right_3,screw,50.8,4.1402,4.1402,"SPAX XFT08P-2000 #8 x2 in; nominal geometry; head profile and capacity unqualified; fresh drilling; Four additional independent single 2x6 principals; no horizontal seam rails; single 2x10 posts below added principals; retained center and outer members; panel spans, connections, header bending and stability unqualified; NOT build-ready; main_lower_right + base_side_right"
fastener_timber_panel_lower_right_4,screw,50.8,4.1402,4.1402,"SPAX XFT08P-2000 #8 x2 in; nominal geometry; head profile and capacity unqualified; fresh drilling; Four additional independent single 2x6 principals; no horizontal seam rails; single 2x10 posts below added principals; retained center and outer members; panel spans, connections, header bending and stability unqualified; NOT build-ready; main_lower_right + base_side_right"
fastener_timber_panel_lower_right_5,screw,50.8,4.1402,4.1402,"SPAX XFT08P-2000 #8 x2 in; nominal geometry; head profile and capacity unqualified; fresh drilling; Four additional independent single 2x6 principals; no horizontal seam rails; single 2x10 posts below added principals; retained center and outer members; panel spans, connections, header bending and stability unqualified; NOT build-ready; main_lower_right + base_principal_center"
fastener_timber_panel_lower_right_6,screw,50.8,4.1402,4.1402,"SPAX XFT08P-2000 #8 x2 in; nominal geometry; head profile and capacity unqualified; fresh drilling; Four additional independent single 2x6 principals; no horizontal seam rails; single 2x10 posts below added principals; retained center and outer members; panel spans, connections, header bending and stability unqualified; NOT build-ready; main_lower_right + base_principal_center"
fastener_timber_panel_lower_right_7,screw,50.8,4.1402,4.1402,"SPAX XFT08P-2000 #8 x2 in; nominal geometry; head profile and capacity unqualified; fresh drilling; Four additional independent single 2x6 principals; no horizontal seam rails; single 2x10 posts below added principals; retained center and outer members; panel spans, connections, header bending and stability unqualified; NOT build-ready; main_lower_right + base_side_right"
fastener_timber_panel_lower_right_8,screw,50.8,4.1402,4.1402,"SPAX XFT08P-2000 #8 x2 in; nominal geometry; head profile and capacity unqualified; fresh drilling; Four additional independent single 2x6 principals; no horizontal seam rails; single 2x10 posts below added principals; retained center and outer members; panel spans, connections, header bending and stability unqualified; NOT build-ready; main_lower_right + base_side_right"
fastener_timber_panel_lower_right_9,screw,50.8,4.1402,4.1402,"SPAX XFT08P-2000 #8 x2 in; nominal geometry; head profile and capacity unqualified; fresh drilling; Four additional independent single 2x6 principals; no horizontal seam rails; single 2x10 posts below added principals; retained center and outer members; panel spans, connections, header bending and stability unqualified; NOT build-ready; main_lower_right + base_rail_bottom_right_1"
fastener_timber_panel_lower_right_10,screw,50.8,4.1402,4.1402,"SPAX XFT08P-2000 #8 x2 in; nominal geometry; head profile and capacity unqualified; fresh drilling; Four additional independent single 2x6 principals; no horizontal seam rails; single 2x10 posts below added principals; retained center and outer members; panel spans, connections, header bending and stability unqualified; NOT build-ready; main_lower_right + base_rail_bottom_right_2"
fastener_timber_panel_upper_left_1,screw,50.8,4.1402,4.1402,"SPAX XFT08P-2000 #8 x2 in; nominal geometry; head profile and capacity unqualified; fresh drilling; Four additional independent single 2x6 principals; no horizontal seam rails; single 2x10 posts below added principals; retained center and outer members; panel spans, connections, header bending and stability unqualified; NOT build-ready; main_upper_left + base_side_left"
fastener_timber_panel_upper_left_2,screw,50.8,4.1402,4.1402,"SPAX XFT08P-2000 #8 x2 in; nominal geometry; head profile and capacity unqualified; fresh drilling; Four additional independent single 2x6 principals; no horizontal seam rails; single 2x10 posts below added principals; retained center and outer members; panel spans, connections, header bending and stability unqualified; NOT build-ready; main_upper_left + base_side_left"
fastener_timber_panel_upper_left_3,screw,50.8,4.1402,4.1402,"SPAX XFT08P-2000 #8 x2 in; nominal geometry; head profile and capacity unqualified; fresh drilling; Four additional independent single 2x6 principals; no horizontal seam rails; single 2x10 posts below added principals; retained center and outer members; panel spans, connections, header bending and stability unqualified; NOT build-ready; main_upper_left + base_principal_center"
fastener_timber_panel_upper_left_4,screw,50.8,4.1402,4.1402,"SPAX XFT08P-2000 #8 x2 in; nominal geometry; head profile and capacity unqualified; fresh drilling; Four additional independent single 2x6 principals; no horizontal seam rails; single 2x10 posts below added principals; retained center and outer members; panel spans, connections, header bending and stability unqualified; NOT build-ready; main_upper_left + base_principal_center"
fastener_timber_panel_upper_left_5,screw,50.8,4.1402,4.1402,"SPAX XFT08P-2000 #8 x2 in; nominal geometry; head profile and capacity unqualified; fresh drilling; Four additional independent single 2x6 principals; no horizontal seam rails; single 2x10 posts below added principals; retained center and outer members; panel spans, connections, header bending and stability unqualified; NOT build-ready; main_upper_left + base_side_left"
fastener_timber_panel_upper_left_6,screw,50.8,4.1402,4.1402,"SPAX XFT08P-2000 #8 x2 in; nominal geometry; head profile and capacity unqualified; fresh drilling; Four additional independent single 2x6 principals; no horizontal seam rails; single 2x10 posts below added principals; retained center and outer members; panel spans, connections, header bending and stability unqualified; NOT build-ready; main_upper_left + base_side_left"
fastener_timber_panel_upper_left_7,screw,50.8,4.1402,4.1402,"SPAX XFT08P-2000 #8 x2 in; nominal geometry; head profile and capacity unqualified; fresh drilling; Four additional independent single 2x6 principals; no horizontal seam rails; single 2x10 posts below added principals; retained center and outer members; panel spans, connections, header bending and stability unqualified; NOT build-ready; main_upper_left + base_principal_center"
fastener_timber_panel_upper_left_8,screw,50.8,4.1402,4.1402,"SPAX XFT08P-2000 #8 x2 in; nominal geometry; head profile and capacity unqualified; fresh drilling; Four additional independent single 2x6 principals; no horizontal seam rails; single 2x10 posts below added principals; retained center and outer members; panel spans, connections, header bending and stability unqualified; NOT build-ready; main_upper_left + base_principal_center"
fastener_timber_panel_upper_left_11,screw,50.8,4.1402,4.1402,"SPAX XFT08P-2000 #8 x2 in; nominal geometry; head profile and capacity unqualified; fresh drilling; Four additional independent single 2x6 principals; no horizontal seam rails; single 2x10 posts below added principals; retained center and outer members; panel spans, connections, header bending and stability unqualified; NOT build-ready; main_upper_left + base_rail_top"
fastener_timber_panel_upper_left_12,screw,50.8,4.1402,4.1402,"SPAX XFT08P-2000 #8 x2 in; nominal geometry; head profile and capacity unqualified; fresh drilling; Four additional independent single 2x6 principals; no horizontal seam rails; single 2x10 posts below added principals; retained center and outer members; panel spans, connections, header bending and stability unqualified; NOT build-ready; main_upper_left + base_rail_top"
fastener_timber_panel_upper_right_1,screw,50.8,4.1402,4.1402,"SPAX XFT08P-2000 #8 x2 in; nominal geometry; head profile and capacity unqualified; fresh drilling; Four additional independent single 2x6 principals; no horizontal seam rails; single 2x10 posts below added principals; retained center and outer members; panel spans, connections, header bending and stability unqualified; NOT build-ready; main_upper_right + base_principal_center"
fastener_timber_panel_upper_right_2,screw,50.8,4.1402,4.1402,"SPAX XFT08P-2000 #8 x2 in; nominal geometry; head profile and capacity unqualified; fresh drilling; Four additional independent single 2x6 principals; no horizontal seam rails; single 2x10 posts below added principals; retained center and outer members; panel spans, connections, header bending and stability unqualified; NOT build-ready; main_upper_right + base_principal_center"
fastener_timber_panel_upper_right_3,screw,50.8,4.1402,4.1402,"SPAX XFT08P-2000 #8 x2 in; nominal geometry; head profile and capacity unqualified; fresh drilling; Four additional independent single 2x6 principals; no horizontal seam rails; single 2x10 posts below added principals; retained center and outer members; panel spans, connections, header bending and stability unqualified; NOT build-ready; main_upper_right + base_side_right"
fastener_timber_panel_upper_right_4,screw,50.8,4.1402,4.1402,"SPAX XFT08P-2000 #8 x2 in; nominal geometry; head profile and capacity unqualified; fresh drilling; Four additional independent single 2x6 principals; no horizontal seam rails; single 2x10 posts below added principals; retained center and outer members; panel spans, connections, header bending and stability unqualified; NOT build-ready; main_upper_right + base_side_right"
fastener_timber_panel_upper_right_5,screw,50.8,4.1402,4.1402,"SPAX XFT08P-2000 #8 x2 in; nominal geometry; head profile and capacity unqualified; fresh drilling; Four additional independent single 2x6 principals; no horizontal seam rails; single 2x10 posts below added principals; retained center and outer members; panel spans, connections, header bending and stability unqualified; NOT build-ready; main_upper_right + base_principal_center"
fastener_timber_panel_upper_right_6,screw,50.8,4.1402,4.1402,"SPAX XFT08P-2000 #8 x2 in; nominal geometry; head profile and capacity unqualified; fresh drilling; Four additional independent single 2x6 principals; no horizontal seam rails; single 2x10 posts below added principals; retained center and outer members; panel spans, connections, header bending and stability unqualified; NOT build-ready; main_upper_right + base_principal_center"
fastener_timber_panel_upper_right_7,screw,50.8,4.1402,4.1402,"SPAX XFT08P-2000 #8 x2 in; nominal geometry; head profile and capacity unqualified; fresh drilling; Four additional independent single 2x6 principals; no horizontal seam rails; single 2x10 posts below added principals; retained center and outer members; panel spans, connections, header bending and stability unqualified; NOT build-ready; main_upper_right + base_side_right"
fastener_timber_panel_upper_right_8,screw,50.8,4.1402,4.1402,"SPAX XFT08P-2000 #8 x2 in; nominal geometry; head profile and capacity unqualified; fresh drilling; Four additional independent single 2x6 principals; no horizontal seam rails; single 2x10 posts below added principals; retained center and outer members; panel spans, connections, header bending and stability unqualified; NOT build-ready; main_upper_right + base_side_right"
fastener_timber_panel_upper_right_11,screw,50.8,4.1402,4.1402,"SPAX XFT08P-2000 #8 x2 in; nominal geometry; head profile and capacity unqualified; fresh drilling; Four additional independent single 2x6 principals; no horizontal seam rails; single 2x10 posts below added principals; retained center and outer members; panel spans, connections, header bending and stability unqualified; NOT build-ready; main_upper_right + base_rail_top"
fastener_timber_panel_upper_right_12,screw,50.8,4.1402,4.1402,"SPAX XFT08P-2000 #8 x2 in; nominal geometry; head profile and capacity unqualified; fresh drilling; Four additional independent single 2x6 principals; no horizontal seam rails; single 2x10 posts below added principals; retained center and outer members; panel spans, connections, header bending and stability unqualified; NOT build-ready; main_upper_right + base_rail_top"
fastener_timber_base_left_1,bolt,76.2,9.525,9.525,Conquest-family 3/8-16 x3 in candidate; removable base gusset; joint unqualified; new below-rail rim axes; strength/spacing unqualified; base_side_left + timber_base_gusset_left
fastener_timber_base_left_2,bolt,76.2,9.525,9.525,Conquest-family 3/8-16 x3 in candidate; removable base gusset; joint unqualified; new below-rail rim axes; strength/spacing unqualified; base_side_left + timber_base_gusset_left
fastener_timber_base_left_3,bolt,76.2,9.525,9.525,Conquest-family 3/8-16 x3 in candidate; removable base gusset; joint unqualified; base_post_outer_left + timber_base_gusset_left
fastener_timber_base_left_4,bolt,76.2,9.525,9.525,Conquest-family 3/8-16 x3 in candidate; removable base gusset; joint unqualified; base_post_outer_left + timber_base_gusset_left
fastener_timber_base_right_1,bolt,76.2,9.525,9.525,Conquest-family 3/8-16 x3 in candidate; removable base gusset; joint unqualified; new below-rail rim axes; strength/spacing unqualified; base_side_right + timber_base_gusset_right
fastener_timber_base_right_2,bolt,76.2,9.525,9.525,Conquest-family 3/8-16 x3 in candidate; removable base gusset; joint unqualified; new below-rail rim axes; strength/spacing unqualified; base_side_right + timber_base_gusset_right
fastener_timber_base_right_3,bolt,76.2,9.525,9.525,Conquest-family 3/8-16 x3 in candidate; removable base gusset; joint unqualified; base_post_outer_right + timber_base_gusset_right
fastener_timber_base_right_4,bolt,76.2,9.525,9.525,Conquest-family 3/8-16 x3 in candidate; removable base gusset; joint unqualified; base_post_outer_right + timber_base_gusset_right
fastener_timber_kicker_left_0_1,screw,50.8,4.1402,4.1402,"SPAX XFT08P-2000 #8 x2 in; nominal geometry; head profile and capacity unqualified; fresh drilling; Four additional independent single 2x6 principals; no horizontal seam rails; single 2x10 posts below added principals; retained center and outer members; panel spans, connections, header bending and stability unqualified; NOT build-ready; kicker_left + base_post_outer_left"
fastener_timber_kicker_left_0_2,screw,50.8,4.1402,4.1402,"SPAX XFT08P-2000 #8 x2 in; nominal geometry; head profile and capacity unqualified; fresh drilling; Four additional independent single 2x6 principals; no horizontal seam rails; single 2x10 posts below added principals; retained center and outer members; panel spans, connections, header bending and stability unqualified; NOT build-ready; kicker_left + base_post_outer_left"
fastener_timber_kicker_left_1_1,screw,50.8,4.1402,4.1402,"SPAX XFT08P-2000 #8 x2 in; nominal geometry; head profile and capacity unqualified; fresh drilling; Four additional independent single 2x6 principals; no horizontal seam rails; single 2x10 posts below added principals; retained center and outer members; panel spans, connections, header bending and stability unqualified; NOT build-ready; kicker_left + base_post_center"
fastener_timber_kicker_left_1_2,screw,50.8,4.1402,4.1402,"SPAX XFT08P-2000 #8 x2 in; nominal geometry; head profile and capacity unqualified; fresh drilling; Four additional independent single 2x6 principals; no horizontal seam rails; single 2x10 posts below added principals; retained center and outer members; panel spans, connections, header bending and stability unqualified; NOT build-ready; kicker_left + base_post_center"
fastener_timber_kicker_right_0_1,screw,50.8,4.1402,4.1402,"SPAX XFT08P-2000 #8 x2 in; nominal geometry; head profile and capacity unqualified; fresh drilling; Four additional independent single 2x6 principals; no horizontal seam rails; single 2x10 posts below added principals; retained center and outer members; panel spans, connections, header bending and stability unqualified; NOT build-ready; kicker_right + base_post_center"
fastener_timber_kicker_right_0_2,screw,50.8,4.1402,4.1402,"SPAX XFT08P-2000 #8 x2 in; nominal geometry; head profile and capacity unqualified; fresh drilling; Four additional independent single 2x6 principals; no horizontal seam rails; single 2x10 posts below added principals; retained center and outer members; panel spans, connections, header bending and stability unqualified; NOT build-ready; kicker_right + base_post_center"
fastener_timber_kicker_right_1_1,screw,50.8,4.1402,4.1402,"SPAX XFT08P-2000 #8 x2 in; nominal geometry; head profile and capacity unqualified; fresh drilling; Four additional independent single 2x6 principals; no horizontal seam rails; single 2x10 posts below added principals; retained center and outer members; panel spans, connections, header bending and stability unqualified; NOT build-ready; kicker_right + base_post_outer_right"
fastener_timber_kicker_right_1_2,screw,50.8,4.1402,4.1402,"SPAX XFT08P-2000 #8 x2 in; nominal geometry; head profile and capacity unqualified; fresh drilling; Four additional independent single 2x6 principals; no horizontal seam rails; single 2x10 posts below added principals; retained center and outer members; panel spans, connections, header bending and stability unqualified; NOT build-ready; kicker_right + base_post_outer_right"
fastener_lumber_leg_bolt_left_1,bolt,95.25,9.525,9.525,"Spread-group experiment; geometry only, NOT build-ready or strength-qualified; existing 3/8-16 x3.75in dimensional family; NEW 70x50 group, not retrofit drilling; base_side_left + lumber_leg_left"
fastener_lumber_leg_bolt_left_2,bolt,95.25,9.525,9.525,"Spread-group experiment; geometry only, NOT build-ready or strength-qualified; existing 3/8-16 x3.75in dimensional family; NEW 70x50 group, not retrofit drilling; base_side_left + lumber_leg_left"
fastener_lumber_leg_bolt_left_3,bolt,95.25,9.525,9.525,"Spread-group experiment; geometry only, NOT build-ready or strength-qualified; existing 3/8-16 x3.75in dimensional family; NEW 70x50 group, not retrofit drilling; base_side_left + lumber_leg_left"
fastener_lumber_leg_bolt_left_4,bolt,95.25,9.525,9.525,"Spread-group experiment; geometry only, NOT build-ready or strength-qualified; existing 3/8-16 x3.75in dimensional family; NEW 70x50 group, not retrofit drilling; base_side_left + lumber_leg_left"
fastener_lumber_leg_bolt_right_1,bolt,95.25,9.525,9.525,"Spread-group experiment; geometry only, NOT build-ready or strength-qualified; existing 3/8-16 x3.75in dimensional family; NEW 70x50 group, not retrofit drilling; base_side_right + lumber_leg_right"
fastener_lumber_leg_bolt_right_2,bolt,95.25,9.525,9.525,"Spread-group experiment; geometry only, NOT build-ready or strength-qualified; existing 3/8-16 x3.75in dimensional family; NEW 70x50 group, not retrofit drilling; base_side_right + lumber_leg_right"
fastener_lumber_leg_bolt_right_3,bolt,95.25,9.525,9.525,"Spread-group experiment; geometry only, NOT build-ready or strength-qualified; existing 3/8-16 x3.75in dimensional family; NEW 70x50 group, not retrofit drilling; base_side_right + lumber_leg_right"
fastener_lumber_leg_bolt_right_4,bolt,95.25,9.525,9.525,"Spread-group experiment; geometry only, NOT build-ready or strength-qualified; existing 3/8-16 x3.75in dimensional family; NEW 70x50 group, not retrofit drilling; base_side_right + lumber_leg_right"
fastener_vertical_panel_lower_left_1_1,screw,50.8,4.1402,4.1402,"SPAX XFT08P-2000 #8 x2 in; nominal geometry; head profile and capacity unqualified; fresh drilling; Four additional independent single 2x6 principals; no horizontal seam rails; single 2x10 posts below added principals; retained center and outer members; panel spans, connections, header bending and stability unqualified; NOT build-ready; main_lower_left + base_principal_left_1"
fastener_vertical_panel_lower_left_1_2,screw,50.8,4.1402,4.1402,"SPAX XFT08P-2000 #8 x2 in; nominal geometry; head profile and capacity unqualified; fresh drilling; Four additional independent single 2x6 principals; no horizontal seam rails; single 2x10 posts below added principals; retained center and outer members; panel spans, connections, header bending and stability unqualified; NOT build-ready; main_lower_left + base_principal_left_1"
fastener_vertical_panel_lower_left_1_3,screw,50.8,4.1402,4.1402,"SPAX XFT08P-2000 #8 x2 in; nominal geometry; head profile and capacity unqualified; fresh drilling; Four additional independent single 2x6 principals; no horizontal seam rails; single 2x10 posts below added principals; retained center and outer members; panel spans, connections, header bending and stability unqualified; NOT build-ready; main_lower_left + base_principal_left_1"
fastener_vertical_panel_lower_left_1_4,screw,50.8,4.1402,4.1402,"SPAX XFT08P-2000 #8 x2 in; nominal geometry; head profile and capacity unqualified; fresh drilling; Four additional independent single 2x6 principals; no horizontal seam rails; single 2x10 posts below added principals; retained center and outer members; panel spans, connections, header bending and stability unqualified; NOT build-ready; main_lower_left + base_principal_left_1"
fastener_vertical_panel_upper_left_1_1,screw,50.8,4.1402,4.1402,"SPAX XFT08P-2000 #8 x2 in; nominal geometry; head profile and capacity unqualified; fresh drilling; Four additional independent single 2x6 principals; no horizontal seam rails; single 2x10 posts below added principals; retained center and outer members; panel spans, connections, header bending and stability unqualified; NOT build-ready; main_upper_left + base_principal_left_1"
fastener_vertical_panel_upper_left_1_2,screw,50.8,4.1402,4.1402,"SPAX XFT08P-2000 #8 x2 in; nominal geometry; head profile and capacity unqualified; fresh drilling; Four additional independent single 2x6 principals; no horizontal seam rails; single 2x10 posts below added principals; retained center and outer members; panel spans, connections, header bending and stability unqualified; NOT build-ready; main_upper_left + base_principal_left_1"
fastener_vertical_panel_upper_left_1_3,screw,50.8,4.1402,4.1402,"SPAX XFT08P-2000 #8 x2 in; nominal geometry; head profile and capacity unqualified; fresh drilling; Four additional independent single 2x6 principals; no horizontal seam rails; single 2x10 posts below added principals; retained center and outer members; panel spans, connections, header bending and stability unqualified; NOT build-ready; main_upper_left + base_principal_left_1"
fastener_vertical_panel_upper_left_1_4,screw,50.8,4.1402,4.1402,"SPAX XFT08P-2000 #8 x2 in; nominal geometry; head profile and capacity unqualified; fresh drilling; Four additional independent single 2x6 principals; no horizontal seam rails; single 2x10 posts below added principals; retained center and outer members; panel spans, connections, header bending and stability unqualified; NOT build-ready; main_upper_left + base_principal_left_1"
fastener_vertical_panel_lower_left_2_1,screw,50.8,4.1402,4.1402,"SPAX XFT08P-2000 #8 x2 in; nominal geometry; head profile and capacity unqualified; fresh drilling; Four additional independent single 2x6 principals; no horizontal seam rails; single 2x10 posts below added principals; retained center and outer members; panel spans, connections, header bending and stability unqualified; NOT build-ready; main_lower_left + base_principal_left_2"
fastener_vertical_panel_lower_left_2_2,screw,50.8,4.1402,4.1402,"SPAX XFT08P-2000 #8 x2 in; nominal geometry; head profile and capacity unqualified; fresh drilling; Four additional independent single 2x6 principals; no horizontal seam rails; single 2x10 posts below added principals; retained center and outer members; panel spans, connections, header bending and stability unqualified; NOT build-ready; main_lower_left + base_principal_left_2"
fastener_vertical_panel_lower_left_2_3,screw,50.8,4.1402,4.1402,"SPAX XFT08P-2000 #8 x2 in; nominal geometry; head profile and capacity unqualified; fresh drilling; Four additional independent single 2x6 principals; no horizontal seam rails; single 2x10 posts below added principals; retained center and outer members; panel spans, connections, header bending and stability unqualified; NOT build-ready; main_lower_left + base_principal_left_2"
